Block,Reward360,Reward180,Reward90,RewardFlexible
196008,477388391599573460981305,358041293699680095735978,238694195799786730490652,119347097899893365245326
197008,479895842934216023828783,359921882200662017871587,239947921467108011914391,119973960733554005957195
198008,482402673454154717840329,361802005090616038380247,241201336727077358920164,120600668363538679460082
199008,484908883345606046825811,363681662509204535119358,242454441672803023412905,121227220836401511706452
200008,487414472794730634714196,365560854596047976035647,243707236397365317357098,121853618198682658678549
201008,489919441987633240145507,367439581490724930109130,244959720993816620072753,122479860496908310036376
202008,492423791110362829430580,369317843332772122072935,246211895555181414715290,123105947777590707357645
203008,494927520348912561959113,371195640261684421469335,247463760174456280979556,123731880087228140489778
204008,497430629889219790199667,373072972416914842649750,248715314944609895099833,124357657472304947549916
205008,499933119917166110771496,374949839937874583078622,249966559958583055385748,124983279979291527692874
206008,502434990618577335260646,376826242963933001445484,251217495309288667630323,125608747654644333815161
207008,504936242179223599659594,378702181634417699744695,252468121089611799829797,126234060544805899914898
208008,507436874784819233039680,380577656088614424779760,253718437392409616519840,126859218696204808259920
209008,509936888621022925358555,382452666465767194018916,254968444310511462679277,127484222155255731339638
210008,512436283873437632612493,384327212905078224459370,256218141936718816306246,128109070968359408153123
211008,514935060727610686276035,386201295545708014707026,257467530363805343138017,128733765181902671569008
212008,517433219369033705750269,388074914526775279312702,258716609684516852875134,129358304842258426437567
213008,519930759983142715098456,389948069987357036323842,259965379991571357549228,129982689995785678774614
214008,522427682755318091974190,391820762066488568980643,261213841377659045987095,130606920688829522993547
215008,524923987870884625989212,393692990903163469491909,262461993935442312994606,131230996967721156497303
216008,527419675515111496825479,395564756636333622619109,263709837757555748412739,131854918878777874206369
217008,529914745873212325306996,397436059404909243980247,264957372936606162653498,132478686468303081326749
218008,532409199130345180695795,399306899347758885521846,266204599565172590347897,133102299782586295173948
219008,534903035471612580691933,401177276603709435518949,267451517735806290345966,133725758867903145172983
220008,537396255082061542505324,403047191311546156878993,268698127541030771252662,134349063770515385626331
221008,539888858146683531783909,404916643610012648837931,269944429073341765891954,134972214536670882945977
222008,542380844850414572053294,406785633637810929039970,271190422425207286026647,135595211212603643013323
223008,544872215378135200940897,408654161533601400705673,272436107689067600470448,136218053844533800235224
224008,547362969914670492063873,410522227436002869047905,273681484957335246031936,136840742478667623015968
225008,549853108644790091508998,412389831483592568631748,274926554322395045754499,137463277161197522877249
